No.,Name,Date,Place,Location
1,나요 : 풍경의 위로,"
2020.04.29. ~ 2020.06.07.
","
라이크디즈1601
",https://map.naver.com/v5/entry/place/1762598017
2,맑은 세계 A Crystal World,"
2020.04.09. ~ 2020.06.28.
","
호텔이매지너리
",https://map.naver.com/v5/entry/place/1454431214
3,새일꾼 1948-2020 : 여러분의 대표를 뽑아 국회로 보내시오,"
2020.03.24. ~ 2020.06.21.
","
일민미술관, 신문박물관
",https://map.naver.com/v5/entry/place/11620339
4,"이 공간, 그 장소 : 헤테로토피아","
2020.04.17. ~ 2020.07.12.
","
대림미술관
",https://map.naver.com/v5/entry/place/11620338
5,모네에서 세잔까지: 예루살렘 이스라엘 박물관 인상파와 후기 인상파 걸작展,"
2020.01.17. ~ 2020.05.13.
","
예술의전당한가람미술관
",https://map.naver.com/v5/entry/place/13457651
6,이소영 : 경로의 단서들,"
2020.04.29. ~ 2020.06.10.
","
히든엠갤러리
",https://map.naver.com/v5/entry/place/798204765
7,"뿌리 내리다, 피어 오르다","
2020.04.20. ~ 2020.05.22.
","
KT&G상상마당 대치
",https://map.naver.com/v5/entry/place/13280871
8,백현진 : 핑크빛 광선,"
2020.03.19. ~ 2020.05.05.
","
P21 LLC
",https://map.naver.com/v5/entry/place/1231497889
9,윤형근 1989-1999,"
2020.04.23. ~ 2020.06.20.
","
PKM 갤러리
",https://map.naver.com/v5/entry/place/11620435
10,"Nature, Conversations(자연, 그리고 우리가 이어갈 대화)","
2020.04.20. ~ 2020.06.12.
","
Space B-E
",https://map.naver.com/v5/entry/place/21041601
11,양 앨리스 예린 : Sun Rose,"
2020.04.20. ~ 2020.05.22.
","
스페이스mm
",https://map.naver.com/v5/entry/place/1387172438
12,"데이비드 오스트로스키 : 사람, 그림, 감정","
2020.04.03. ~ 2020.05.18.
","
리안갤러리 서울
",https://map.naver.com/v5/entry/place/31553478
13,박영숙 : 행복 담은 말,"
2020.04.21. ~ 2020.06.21.
","
아트 갤러리 21
",No Map
14,DESIRE LINES,"
2020.04.10. ~ 2020.05.24.
","
에브리데이몬데이
",https://map.naver.com/v5/entry/place/33167265
15,숙명:宿命,"
2020.04.20. ~ 2020.05.20.
","
아트앤크리에이티브
",https://map.naver.com/v5/entry/place/1682067209
16,조규훈 : 그 소녀,"
2020.04.29. ~ 2020.06.07.
","
복합문화공간 에무
",https://map.naver.com/v5/entry/place/31336672
17,"에세이;나는 지금, 얼마나 충만한가!","
2020.04.09. ~ 2020.05.09.
","
드로잉룸
",https://map.naver.com/v5/entry/place/1043133475
18,명상 Mindfulness,"
2020.04.24. ~ 2020.09.27.
","
피크닉
",https://map.naver.com/v5/entry/place/1017034682
19,갤러리탐 39기 : 남희승 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스커피역삼2호점
",https://map.naver.com/v5/entry/place/33021885
20,갤러리탐 39기 : 민토스 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스 문정로데오점
",https://map.naver.com/v5/entry/place/33021912
21,갤러리탐 39기 : 김경섭 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스 탐스커버리 건대점
",https://map.naver.com/v5/entry/place/32762225
22,갤러리탐 39기 : 이선린 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스 블랙 이태원점
",https://map.naver.com/v5/entry/place/12951560
23,갤러리탐 39기 : 권봄이 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스 블랙 청담점
",https://map.naver.com/v5/entry/place/11807856
24,갤러리탐 39기 : 최지영 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스 블랙 도산사거리점
",https://map.naver.com/v5/entry/place/35701550
25,갤러리탐 39기 : 이주연 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스블랙 압구정점
",https://map.naver.com/v5/entry/place/32769015
26,갤러리탐 39기 : 이용제 개인전,"
2020.03.30. ~ 2020.06.29.
","
탐앤탐스 블랙 청계광장점
",https://map.naver.com/v5/entry/place/12951590
27,"정형준 : ""흙놀이"" 섬으로 떠나는 여행!","
2020.04.03. ~ 2020.05.04.
","
이정아 갤러리
",https://map.naver.com/v5/entry/place/36734407
28,9인의 세라미스트 남도 器행,"
2020.04.08. ~ 2020.05.10.
","
한국문화정품관 갤러리
",https://map.naver.com/v5/entry/place/1559571010
29,한재혁 : Good Choice,"
2020.04.02. ~ 2020.05.12.
","
OUDO
",https://map.naver.com/v5/entry/place/319626943
30,metaphorically(재료의 사유),"
2020.03.25. ~ 2020.05.20.
","
Space B-E
",https://map.naver.com/v5/entry/place/21041601
31,임동승 : TRANS,"
2020.04.02. ~ 2020.05.02.
","
아트스페이스3
",https://map.naver.com/v5/entry/place/1426973268
32,김재용 : 도넛 피어,"
2020.03.25. ~ 2020.05.31.
","
학고재
",https://map.naver.com/v5/entry/place/13011030
33,ENSEMBLE AT HANNAM 2nd,"
2020.04.01. ~ 2020.05.08.
","
갤러리조은
",https://map.naver.com/v5/entry/place/37414173
34,르네 마그리트 특별전,"
2020.04.29. ~ 2020.09.13.
","
인사 센트럴 뮤지엄
",https://map.naver.com/v5/entry/place/1740877619
35,토비아스 레베르거 : Truths that would be maddening without love,"
2020.03.18. ~ 2020.05.13.
","
갤러리바톤
",https://map.naver.com/v5/entry/place/34714075
36,샌정 : VERY ART,"
2020.03.19. ~ 2020.05.16.
","
OCI 미술관
",https://map.naver.com/v5/entry/place/13135912
37,에디강 : We will be alright,"
2020.03.25. ~ 2020.06.27.
","
파라다이스 ZIP
",https://map.naver.com/v5/entry/place/92057576
38,김보경 : Embracing the Moment,"
2020.03.10. ~ 2020.05.08.
","
3안
",https://map.naver.com/v5/entry/place/1155207461
39,휘도 판 데어 베르베 : Trials and Resurrections,"
2020.04.27. ~ 2020.07.11.
","
송은아트스페이스
",https://map.naver.com/v5/entry/place/13558974
40,동방견문록 東方見聞錄 : 바라캇 갤러리 중국 유물전,"
2020.03.18. ~ 2020.06.30.
","
바라캇 서울
",https://map.naver.com/v5/entry/place/38233013
41,조문자 : 광야에서,"
2020.03.24. ~ 2020.05.28.
","
환기미술관
",https://map.naver.com/v5/entry/place/11620347
42,프레드 윌슨 : Glass Works 2009 - 2018,"
2020.03.10. ~ 2020.05.16.
","
페이스갤러리
",https://map.naver.com/v5/entry/place/476823624
43,성낙희 : Modulate,"
2020.03.05. ~ 2020.05.09.
","
페리지갤러리
",https://map.naver.com/v5/entry/place/32315787
44,윤양호 : SELBST FRAGEN,"
2020.03.10. ~ 2020.05.29.
","
갤러리비선재
",https://map.naver.com/v5/entry/place/37233018
45,셀린박 : 가능성에 대한 가능성,"
2020.03.27. ~ 2020.07.27.
","
셀린박 갤러리
",https://map.naver.com/v5/entry/place/1231235638
46,일상다반사,"
2020.03.03. ~ 2020.08.16.
","
화정박물관
",https://map.naver.com/v5/entry/place/11620676
47,사람과 사람,"
2020.02.20. ~ 2020.05.30.
","
흰물결갤러리
",https://map.naver.com/v5/entry/place/1712298168
48,아티스트로 살아가기,"
2020.04.21. ~ 2020.07.31.
","
세화미술관
",https://map.naver.com/v5/entry/place/38627891
49,팀보타63 : 보타닉 이펙트,"
2019.12.14. ~ 2020.07.05.
","
63아트
",https://map.naver.com/v5/entry/place/19575024
50,환상의 에셔展,"
2020.01.10. ~ 2020.05.31.
","
서울웨이브아트센터
",https://map.naver.com/v5/entry/place/1148405835
51,툴루즈 로트렉展 - 물랭 루즈의 작은 거인,"
2020.01.14. ~ 2020.05.16.
","
예술의전당한가람미술관
",https://map.naver.com/v5/entry/place/13457651
52,가능한 최선의 세계,"
2019.12.10. ~ 2020.05.03.
","
플랫폼엘
",https://map.naver.com/v5/entry/place/37620674
53,"경계의 예술, 타투","
2019.11.08. ~ 2020.05.10.
","
인사1길
",https://map.naver.com/v5/entry/place/742213095
54,보통의 거짓말,"
2019.10.29. ~ 2020.06.21.
","
석파정서울미술관
",https://map.naver.com/v5/entry/place/20512888
55,백악기 공룡의 전설 탐험展,"
2019.11.16. ~ 2020.06.28.
","
대원뮤지엄
",https://map.naver.com/v5/entry/place/1685015430
56,파랑새,"
2019.11.01. ~ 2020.09.13.
","
뚝섬미술관
",https://map.naver.com/v5/entry/place/1479550856
57,인생사진관 어트랙션14,"
2019.12.14. ~ 2020.05.10.
","
마크앤스페이스
",https://map.naver.com/v5/entry/place/1638895297
58,2020 금호영아티스트,"
2020.04.01. ~ 2020.05.05.
","
금호미술관
",https://map.naver.com/v5/entry/place/12899946
59,피카부(PEEK-A-BOO) 프리뷰,"
2020.04.30. ~ 2020.05.05.
","
K현대미술관
",https://map.naver.com/v5/entry/place/123980096
60,신데렐라 유니버스 프리뷰,"
2020.04.30. ~ 2020.05.05.
","
K현대미술관
",https://map.naver.com/v5/entry/place/123980096
61,현³이의 방,"
2020.04.17. ~ 2020.05.03.
","
불나방
",https://map.naver.com/v5/entry/place/1075952252
62,이로운 : 소담하다,"
2020.04.30. ~ 2020.05.05.
","
어반플루토
",https://map.naver.com/v5/entry/place/37107328
63,"테리보더 : 먹고, 즐기고, 사랑하라","
2020.01.03. ~ 2020.05.10.
","
사비나미술관
",https://map.naver.com/v5/entry/place/11620364
64,"김환기, 성심","
2020.03.24. ~ 2020.08.30.
","
환기미술관
",https://map.naver.com/v5/entry/place/11620347
65,인생사진관 폴더(PHOLDER),"
2020.04.10. ~ 오픈런
","
마크앤스페이스
",https://map.naver.com/v5/entry/place/1390052324
66,"추니박, 침묵의 숲","
2020.01.08. ~ 2020.05.10.
","
사비나미술관
",https://map.naver.com/v5/entry/place/11620364
67,인생사진관 이모센스9,"
2020.01.18. ~ 오픈런
","
마크앤스페이스
",https://map.naver.com/v5/entry/place/1390052324
68,박노해 사진전 : 단순하게 단단하게 단아하게,"
2020.01.15. ~ 2020.06.28.
","
라 카페 갤러리
",https://map.naver.com/v5/entry/place/21413519
69,"노래책, 시대를 노래하다","
2019.12.10. ~ 2020.06.12.
","
송파책박물관
",https://map.naver.com/v5/entry/place/1906572873
70,"뜻밖의 발견, 세렌디피티(Serendipity) - 우연을 예술로 바꾸는 힘","
2020.01.03. ~ 2020.05.10.
","
사비나미술관
",https://map.naver.com/v5/entry/place/11620364
71,스마트창의교육체험전 마음행성 SEASON1. 비밀의 정원,"
2019.11.15. ~ 2020.06.30.
","
서울 종로구 인사동 5길 14
",No Map
72,강남모던걸,"
2020.04.23. ~ 2020.05.17.
","
M컨템포러리
",https://map.naver.com/v5/entry/place/110414885
73,설은아 : 세상의 끝과 부재중 통화,"
2019.10.29. ~ 2020.06.21.
","
석파정서울미술관
",https://map.naver.com/v5/entry/place/20512888
74,"인간, 물질 그리고 변형-핀란드 디자인 10 000년","
2019.12.21. ~ 2020.05.10.
","
국립중앙박물관
",https://map.naver.com/v5/entry/place/11620570
75,I'M FLEX,"
2019.11.01. ~ 오픈런
","
핫플레이스 뮤지엄
",https://map.naver.com/v5/entry/place/1355537258
76,제왕의 사람들 : 한국과 중국의 관료 복식,"
2019.10.24. ~ 2020.06.30.
","
숙명여자대학교 정영양자수박물관
",https://map.naver.com/v5/entry/place/13416086
77,푸룻푸룻 서교대공원,"
2019.07.27. ~ 오픈런
","
마포구 서교동 463-16 써드 스페이스 B1 & B2
",No Map
78,왓츠유어컬러,"
2019.06.15. ~ 오픈런
","
아이랩스페이스
",https://map.naver.com/v5/entry/place/1780817066
79,"헬로우,심쿵(hello,심쿵)展","
2019.07.03. ~ 오픈런
","
인사동 쌈지길기획전시실 B2
",https://map.naver.com/v5/entry/place/11859069
80,쥬라기 월드 특별전,"
2019.06.28. ~ 2020.06.28.
","
롯데백화점 김포공항점 1층 특별전시장
",https://map.naver.com/v5/entry/place/20790108
81,뷰티인사이드 로맨틱 포토 에디션,"
2019.03.23. ~ 오픈런
","
스타티스뮤지엄
",https://map.naver.com/v5/entry/place/1197190920
82,라뜰리에,"
2017.10.28. ~ 오픈런
","
현대시티아울렛 동대문점 11층
",https://map.naver.com/v5/entry/place/37817814
83,윤희경 : 기억의 유토피아,"
2020.04.29. ~ 2020.05.05.
","
갤러리 비
",https://map.naver.com/v5/entry/place/1763533020
84,김태중 : DRAWING MACHINE,"
2020.04.22. ~ 2020.05.03.
","
갤러리 마롱
",https://map.naver.com/v5/entry/place/38474767
85,이예현 : 밤의 집,"
2020.04.20. ~ 2020.05.03.
","
4LOG
",https://map.naver.com/v5/entry/place/38401689
86,행복이 나를 찾는다 Happiness Finds Me,"
2020.04.24. ~ 2020.05.09.
","
세종문화회관
",https://map.naver.com/v5/entry/place/11576170
87,김지용 : 색다른 사랑,"
2020.04.08. ~ 2020.05.02.
","
YEEMOCK GALLERY
",https://map.naver.com/v5/entry/place/1241733180
88,장정후 : 이상으로의 몸부림,"
2020.04.21. ~ 2020.05.10.
","
MANSION 9
",https://map.naver.com/v5/entry/place/1425033790
89,구나영 : 존재의 서사,"
2020.04.21. ~ 2020.05.18.
","
아트스페이스 루
",https://map.naver.com/v5/entry/place/19782133
90,이만근 : 풍경의 귓속말,"
2020.04.27. ~ 2020.05.02.
","
gallery LIM
",https://map.naver.com/v5/entry/place/1728473292
91,PART,"
2020.04.18. ~ 2020.05.01.
","
GALLERY THE COLOUR
",https://map.naver.com/v5/entry/place/1067430426
92,PEACEFUL MIND,"
2020.04.23. ~ 2020.05.11.
","
스페이스 엄
",https://map.naver.com/v5/entry/place/1235817465
93,정원석 : 할아버지 시계,"
2020.04.18. ~ 2020.05.02.
","
별관
",https://map.naver.com/v5/entry/place/1106231891
94,"발화시發話時 : 시간, 말이 되다.","
2020.04.29. ~ 2020.05.17.
","
공간일리
",https://map.naver.com/v5/entry/place/347988670
95,조해영 : GREEN GRASS,"
2020.04.10. ~ 2020.05.03.
","
갤러리 룩스
",https://map.naver.com/v5/entry/place/11620401
96,이예림 : Village,"
2020.04.21. ~ 2020.05.01.
","
갤러리다온
",https://map.naver.com/v5/entry/place/34565434
97,2019 올해의 금속공예가상 수상작가작품전,"
2020.04.29. ~ 2020.05.09.
","
토포하우스
",https://map.naver.com/v5/entry/place/11831731
98,2020 V1. Texture & Painting,"
2020.04.12. ~ 2020.05.01.
","
아티스트런스페이스기묘
",https://map.naver.com/v5/entry/place/1537689570
99,신미경 초대개인전,"
2020.04.25. ~ 2020.05.07.
","
갤러리엘르
",https://map.naver.com/v5/entry/place/21710584
100,한민경 : SHAPE OF MOMENT,"
2020.04.16. ~ 2020.05.05.
","
갤러리 아노브
",https://map.naver.com/v5/entry/place/38563100
101,표영실 : 잠깐 내려앉은 온기에 살갗이 한 겹 녹아내린다,"
2020.04.10. ~ 2020.05.09.
","
에이라운지 갤러리
",https://map.naver.com/v5/entry/place/1800167056
102,네작가 이야기,"
2019.04.21. ~ 2020.05.03.
","
비움갤러리
",https://map.naver.com/v5/entry/place/1443179044
103,창신동의 하루,"
2019.09.07. ~ 2020.12.31.
","
이음피움 봉제역사관
",https://map.naver.com/v5/entry/place/1711247566
104,사도회관,"
2018.06.25. ~ 오픈런
","
천주교서울대교구역사관
",https://map.naver.com/v5/entry/place/1176281990
105,박물관은 살아있다,"
2014.03.06. ~ 오픈런
","
대일빌딩
",https://map.naver.com/v5/entry/place/18669477
106,장종완 : 프롬프터,"
2020.04.29. ~ 2020.08.16.
","
아라리오뮤지엄 인 스페이스
",https://map.naver.com/v5/entry/place/35457581
107,황규민 : Penetrating Stone,"
2020.04.23. ~ 2020.05.27.
","
KSD나눔재단
",https://map.naver.com/v5/entry/place/38218435
108,홍명섭 : Topological Plane,"
2020.04.09. ~ 2020.05.09.
","
유엠갤러리
",https://map.naver.com/v5/entry/place/19575036
109,라오미 : 상상의 정원에 진짜 두꺼비들을,"
2020.04.01. ~ 2020.05.06.
","
송은아트큐브
",https://map.naver.com/v5/entry/place/20622482
110,선무 : 나의 평화를 말하다,"
2020.04.07. ~ 2020.05.30.
","
씨알콜렉티브
",https://map.naver.com/v5/entry/place/49072062
111,김대섭 : ILLUSION,"
2020.04.08. ~ 2020.05.27.
","
필갤러리
",https://map.naver.com/v5/entry/place/71919449
112,이종건 : 세 개의 기둥과 하나의 벽,"
2020.04.09. ~ 2020.05.23.
","
피비갤러리
",https://map.naver.com/v5/entry/place/400738796
113,화이트 랩소디 (White Rhapsody),"
2020.04.01. ~ 2020.05.27.
","
우란문화재단
",https://map.naver.com/v5/entry/place/582493917
114,박영숙 : 그림자의 눈물,"
2020.03.26. ~ 2020.06.06.
","
아라리오갤러리 서울
",https://map.naver.com/v5/entry/place/11796568
115,배찬효 : 서양의 눈,"
2020.03.13. ~ 2020.05.13.
","
MoPS
",https://map.naver.com/v5/entry/place/1058982255
116,남화연 : 마음의 흐름,"
2020.03.24. ~ 2020.05.02.
","
아트선재센터
",https://map.naver.com/v5/entry/place/11569751
117,Espace RAYNAUD展,"
2020.02.07. ~ 2020.05.16.
","
갤러리 508
",https://map.naver.com/v5/entry/place/1280310342
118,하연 : 무생물 아노미,"
2020.04.29. ~ 2020.05.05.
","
갤러리 도스
",https://map.naver.com/v5/entry/place/20530230
119,윤여진 : 시선의 기록,"
2020.04.29. ~ 2020.05.05.
","
갤러리 일호
",https://map.naver.com/v5/entry/place/31514730
120,"AFT2020, MISSED BUT KNOTTED","
2020.04.03. ~ 2020.05.02.
","
갤러리 마크
",https://map.naver.com/v5/entry/place/32891133
121,이진이 : 너를 위한 꽃,"
2020.04.15. ~ 2020.05.10.
","
통인화랑
",https://map.naver.com/v5/entry/place/1090839222
122,"24 : 정직성, 김태규 2인전","
2020.04.09. ~ 2020.05.03.
","
누크갤러리
",https://map.naver.com/v5/entry/place/33849872
123,로봇 아트 팩토리 (Robot Art Factory),"
2020.04.24. ~ 2020.05.10.
","
세종문화회관
",https://map.naver.com/v5/entry/place/11576170
124,움; 트다,"
2020.05.01. ~ 2020.05.31.
","
헤올
",https://map.naver.com/v5/entry/place/1697769681
125,<스누피 展> To the Moon with Snoopy,"
2020.05.08. ~ 2020.06.21.
","
롯데뮤지엄
",https://map.naver.com/v5/entry/place/1000381360
126,ODI ET AMO : I HATE AND LOVE,"
2020.05.22. ~ 2020.07.03.
","
갤러리요호
",https://map.naver.com/v5/entry/place/1189616956
127,강홍구 : 녹색연구-서울-공터,"
2020.05.01. ~ 2020.05.31.
","
원앤제이 갤러리
",https://map.naver.com/v5/entry/place/38780897
128,My Dear 피노키오,"
2020.06.26. ~ 2020.10.04.
","
예술의전당한가람미술관
",https://map.naver.com/v5/entry/place/13457651
129,Sharpness_작업의 온도,"
2020.05.06. ~ 2020.07.28.
","
일우스페이스
",https://map.naver.com/v5/entry/place/13357801
130,최승윤 : 역설의 알레프,"
2020.05.07. ~ 2020.06.13.
","
갤러리JJ
",https://map.naver.com/v5/entry/place/31807207
